Country Code,Country Name
1220,AFGHANISTAN
2100,ALBANIA
2501,ALGERIA
1221,AMERICAN SAMOA
2024,ANDORRA
2554,ANGOLA
148,ANGUILLA
122,ANTIGUA AND BARBUDA
123,ANTILLES NETHERLANDS
116,ARGENTINA
1314,ARMENIA
149,ARUBA
2702,ASIAN CLEARING UNION
1222,AUSTRALIA
2001,AUSTRIA
1312,AZERBIJAN
124,BAHAMAS
1214,BAHRAIN
9999,BANGLADESH
125,BARBADOS
2114,BELARUS
2002,BELGIUM
126,BELIZE
2512,BENIN
9990,"BEPZA EZ-1, Mirsarai"
127,BERMUDA
1260,BHUTAN
101,BOLIVIA
2123,BOSNIA-HERZEGOVINA
2502,BOTSWANA
117,BRAZIL
2705,BRITISH COUNCIL
2604,BRITISH INDIAN OCEAN TERRITORY
2025,BRITISH VIRGIN ISLAND
1203,BRUNEI
2101,BULGARIA
2104,BURKINA FASO
2506,BURUNDI
1302,CAMBODIA
2507,CAMEROON
200,CANADA
2503,CAPE VERDE
1224,CAYMAN ISLANDS
2535,CENTRAL AFRICAN REPUBLIC
2707,CENTRE ON INTEGRATED RURAL DEVELOPMENT FOR ASIA AND THE PACIFIC
2508,CHAD
118,CHILE
1301,CHINA
102,COLOMBIA
2509,COMOROS (COMORO ISLANDS)
2529,CONGO
2706,COOPERATIVE FOR ASSISTANCE AND RELIEF EVERYWHERE
103,COSTA RICA
2121,CROATIA
300,CUBA
4797,CURACAO
2017,CYPRUS
2102,CZECH REPUBLIC
2003,DENMARK
2504,DJIBOUTI
129,DOMINICA
105,DOMINICAN REPUBLIC
2126,EAST TIMOR
2505,EGYPT
114,EL-SALVADOR
9982,EPZ-Adamjee
9981,EPZ-Chittagong
9983,EPZ-Comilla
9980,EPZ-Dhaka
9984,EPZ-Ishwardi
9985,EPZ-Karnafuli
9901,EPZ-Korean
9988,EPZ-Mongla
9987,EPZ-Uttara
106,EQUADOR
2520,EQUATORIAL GUINEA
3001,ERITRIA
2120,ESTONIA
2521,ETHIOPIA
9991,"EZ, Mirsarai"
2023,FAEROE ISLANDS
138,FALKLAND ISLANDS
1263,FIJI (INCLUDING PITCAIRN)
2105,FINLAND
2005,FRANCE
1253,FRENCH POLYNESIA
2514,GABON
2522,GAMBIA
2115,GEORGIA
2004,GERMANY
2523,GHANA
2018,GIBRALTAR
2007,GREECE
130,GREENLAND
131,GRENADA
132,GUADELOUPE
1255,GUAM
107,GUATEMALA
2031,GUERNSEY
133,"GUIANA, FRENCH"
2517,GUINEA
2536,GUINEA-BISSAU
134,GUYANA
108,HAITI
109,HONDURAS
1204,HONGKONG
2106,HUNGARY
2019,ICELAND
1100,INDIA
1226,INDONESIA
2701,INT. BODIES (ADB)
2704,INT. BODIES (BIS)
2708,INT. BODIES (EU)
2712,INT. BODIES (FAO)
2714,INT. BODIES (FF)
2722,INT. BODIES (HABITAT)
2732,INT. BODIES (IAEA)
2734,INT. BODIES (IBRD)
2736,INT. BODIES (ICAO)
2740,INT. BODIES (IDA)
2742,INT. BODIES (IDB)
2744,INT. BODIES (IFAD)
2746,INT. BODIES (IFC)
2748,INT. BODIES (ILO)
2750,INT. BODIES (IMCO)
2752,INT. BODIES (IMF)
2754,INT. BODIES (ITU)
2758,INT. BODIES (OPEC)
2760,INT. BODIES (UNCTAD)
2761,INT. BODIES (UNDP)
2762,INT. BODIES (UNEP)
2763,INT. BODIES (UNESCO)
2764,INT. BODIES (UNFPA)
2765,INT. BODIES (UNHCR)
2766,INT. BODIES (UNICEF)
